Index,Lot,Time,pH,Temp,Current
1,1,오후 4:28:52.0,9.97,45.13,8.11
2,1,오후 4:28:57.0,9.8,45.37,7.22
3,1,오후 4:29:02.0,10.97,45.74,7.4
4,1,오후 4:29:07.0,9.53,45.93,8.98
5,1,오후 4:29:12.0,10.47,44.62,8.7
6,1,오후 4:29:17.0,10.37,43.27,7.19
7,1,오후 4:29:22.0,10.71,45.82,7.94
8,1,오후 4:29:27.0,9.83,46.79,7.39
9,1,오후 4:29:32.0,10.9,47.68,7.25
10,1,오후 4:29:37.0,10.49,45.19,7.85
11,1,오후 4:29:42.0,10.66,42.93,7.64
12,1,오후 4:29:47.0,10.79,45.25,7.99
13,1,오후 4:29:52.0,10.43,44.61,8.17
14,1,오후 4:29:57.0,10.75,44.2,7.5
15,1,오후 4:30:02.0,10.82,45.68,7.23
16,1,오후 4:30:07.0,10.36,46.4,7.21
17,1,오후 4:30:12.0,10.19,42.49,8.71
18,1,오후 4:30:17.0,10.68,45.85,8.08
19,1,오후 4:30:22.0,10.47,46.18,8.62
20,1,오후 4:30:27.1,9.74,42.8,7.39
21,1,오후 4:30:32.1,10.29,42.25,7.41
22,1,오후 4:30:37.1,10.3,44.55,8.79
23,1,오후 4:30:42.1,10.59,46.48,8.16
24,1,오후 4:30:47.1,10.37,42.23,8.09
25,1,오후 4:30:52.1,10.62,42.84,7.66
26,1,오후 4:30:57.1,10.39,45.67,8.09
27,1,오후 4:31:02.1,10.73,42.79,8.54
28,1,오후 4:31:07.1,9.88,43.92,7.17
29,1,오후 4:31:12.1,9.61,43.28,7.58
30,1,오후 4:31:17.1,9.66,45.49,7.32
31,1,오후 4:31:22.1,9.53,44.48,8.69
32,1,오후 4:31:27.1,9.71,46.16,8.47
33,1,오후 4:31:32.1,10.85,45.89,7.65
34,1,오후 4:31:37.1,10.04,46.17,7.98
35,1,오후 4:31:42.1,10.98,43.47,7.62
36,1,오후 4:31:47.1,10.64,44.83,8.27
37,1,오후 4:31:52.1,10.18,45.71,7.35
38,1,오후 4:31:57.1,9.61,46.58,8.08
39,1,오후 4:32:02.1,9.56,42.5,8.5
40,1,오후 4:32:07.1,10.85,47.29,8.63
41,1,오후 4:32:12.1,10.93,44.48,7.82
42,1,오후 4:32:17.1,10.75,47.13,8.92
43,1,오후 4:32:22.1,10.44,43.92,7.51
44,1,오후 4:32:27.1,10.23,45.74,7.78
45,1,오후 4:32:32.2,10.35,44.22,8.39
46,1,오후 4:32:37.2,9.51,43.75,7.51
47,1,오후 4:32:42.2,10.4,47.08,8.77
48,1,오후 4:32:47.2,9.94,46.63,7.24
49,1,오후 4:32:52.2,10.77,43.93,7.86
50,1,오후 4:32:57.2,10.84,47.5,7.4
51,1,오후 4:33:02.2,10.44,47.37,8.71
52,1,오후 4:33:07.2,10.06,43.85,7.52
53,1,오후 4:33:12.2,9.62,47.73,8.81
54,1,오후 4:33:17.2,10.85,45.81,7.5
55,1,오후 4:33:22.2,10.55,44.71,8.53
56,1,오후 4:33:27.2,9.68,47.09,8.19
57,1,오후 4:33:32.2,10.66,47.15,7.95
58,1,오후 4:33:37.2,9.74,42.67,7.13
59,1,오후 4:33:42.2,10.71,42.53,6.13
60,1,오후 4:33:47.2,10.95,47.87,7.45
61,1,오후 4:33:52.2,10.85,45.18,8.15
62,1,오후 4:33:57.2,10.69,47.35,8.79
63,1,오후 4:34:02.2,10.52,47.3,6.07
64,1,오후 4:34:07.2,10.31,47.48,7.47
65,1,오후 4:34:12.2,9.85,44.07,7.98
66,1,오후 4:34:17.2,9.93,46.77,7.45
67,1,오후 4:34:22.2,10.02,44.82,8.76
68,1,오후 4:34:27.2,10.64,45.37,7.17
69,1,오후 4:34:32.3,9.67,47.33,7.89
70,2,오후 4:34:59.7,9.71,42.2,7.5
